GEO_PICT,TIME_PERIOD,POP_N,LVST_YIELD,CROP_YIELD,TRSM_ARR,LVST_YIELD_var,CROP_YIELD_var,TRSM_ARR_var,10M_N,20M_N,5M_N
NC,2020,284200.0,544.3,5340.3,,25.2416014726185,-28.618688823036422,,53998.0,127890.0,34104.0
NC,2021,285233.0,523.0,5531.2,,20.340543028071778,-26.067017137235553,,54194.270000000004,128354.85,34227.96
NC,2022,287138.0,475.5,5334.0,,9.410952600092031,-28.7028979986286,,89012.78,160797.28000000003,34456.56
NC,2023,289892.0,485.4,5101.6,,11.68890934192359,-31.809280920473114,,89866.52,162339.52000000002,34787.04
VU,1990,148095.0,1936.3,5322.4,,31.264787032831435,27.29162107639671,,,,
VU,1991,151824.0,1445.6,4245.4,,-2.0005287741253284,1.5338659472671452,,,,
VU,1992,155641.0,1439.5,4188.7,,-2.4140572567469576,0.17781700035752124,,,,
VU,1993,159495.0,1370.2,4130.2,,-7.112011985546843,-1.221281119469836,,,,
VU,1994,163347.0,1358.3,4178.1,,-7.918731484431689,-0.07569479571372995,,,,
VU,1995,167167.0,1426.9,4374.2,82000.0,-3.2682308438014758,4.614273431605014,-43.85057252634381,,,
VU,1996,170944.0,1521.6,4606.3,103000.0,3.151629370013069,10.165225117279093,-29.470841100163568,,,
VU,1997,174657.0,1796.6,5397.7,81000.0,21.794306865250704,29.092511476789895,-44.5353216418762,,,
VU,1998,178346.0,1898.0,5664.0,78000.0,28.668370494403803,35.46139744790153,-46.58956898847338,,,
VU,1999,182080.0,1442.4,4454.4,96000.0,-2.2174617486153636,6.532353247163215,-34.264084908890325,,,
VU,2000,186327.0,1344.2,4038.0,106000.0,-8.874592403278399,-3.426355421146482,-27.416593753566403,,,
VU,2001,191063.0,1553.4,4386.5,106000.0,5.307400804007841,4.90844277987641,-27.416593753566403,,,
VU,2002,195898.0,1407.8,3835.8,99000.0,-4.563049535288911,-8.262212512242101,-32.209837562293146,,,
VU,2003,200774.0,1347.5,3899.9,102000.0,-8.65088027333556,-6.729183632226139,-30.155590215695966,,,
VU,2004,205742.0,1473.5,4237.3,99000.0,-0.10914440279030657,1.3401446691372172,-32.209837562293146,,,
VU,2005,210789.0,1421.1,3385.3,126000.0,-3.661421860064678,-19.03646384527171,-13.721611442918544,,,
